step,track,model,dataset,Memory in Mb,Time in s,MAE,RMSE
336,Regression,SOKNL,trumpapproval,0.0,0.4293245830012893,0.0,0.0
357,Regression,SOKNL,trumpapproval,0.0,0.4549673750007059,0.0,0.0
378,Regression,SOKNL,trumpapproval,0.0,0.4817686670012335,0.0,0.0
399,Regression,SOKNL,trumpapproval,0.0,0.507965000000695,0.0,0.0
420,Regression,SOKNL,trumpapproval,0.0,0.5346105420012464,0.0,0.0
441,Regression,SOKNL,trumpapproval,0.0,0.5607108750009502,0.0,0.0
462,Regression,SOKNL,trumpapproval,0.0,0.5876505000014731,0.0,0.0
483,Regression,SOKNL,trumpapproval,0.0,0.6142223330007255,0.0,0.0
504,Regression,SOKNL,trumpapproval,0.0,0.64111983300063,0.0,0.0
525,Regression,SOKNL,trumpapproval,0.0,0.6676249580013973,0.0,0.0
546,Regression,SOKNL,trumpapproval,0.0,0.6936634170015168,0.0,0.0
567,Regression,SOKNL,trumpapproval,0.0,0.7203258750014356,0.0,0.0
588,Regression,SOKNL,trumpapproval,0.0,0.747110625001369,0.0,0.0
609,Regression,SOKNL,trumpapproval,0.0,0.7735672079998039,0.0,0.0
630,Regression,SOKNL,trumpapproval,0.0,0.8004369170012069,0.0,0.0
651,Regression,SOKNL,trumpapproval,0.0,0.8273595420014317,0.0,0.0
672,Regression,SOKNL,trumpapproval,0.0,0.854502042000604,0.0,0.0
693,Regression,SOKNL,trumpapproval,0.0,0.8815560000002733,0.0,0.0
714,Regression,SOKNL,trumpapproval,0.0,0.9078533749998314,0.0,0.0
735,Regression,SOKNL,trumpapproval,0.0,0.934705749999921,0.0,0.0
756,Regression,SOKNL,trumpapproval,0.0,0.9611592080000264,0.0,0.0
777,Regression,SOKNL,trumpapproval,0.0,0.9880256670003292,0.0,0.0
798,Regression,SOKNL,trumpapproval,0.0,1.0153071250006178,0.0,0.0
819,Regression,SOKNL,trumpapproval,0.0,1.0427383330006703,0.0,0.0
840,Regression,SOKNL,trumpapproval,0.0,1.06981770800121,0.0,0.0
861,Regression,SOKNL,trumpapproval,0.0,1.0968907920014317,0.0,0.0
882,Regression,SOKNL,trumpapproval,0.0,1.1243480000011914,0.0,0.0
903,Regression,SOKNL,trumpapproval,0.0,1.1516563330005738,0.0,0.0
924,Regression,SOKNL,trumpapproval,0.0,1.1787237919998006,0.0,0.0
945,Regression,SOKNL,trumpapproval,0.0,1.2057583750010965,0.0,0.0
966,Regression,SOKNL,trumpapproval,0.0,1.232542542000374,0.0,0.0
987,Regression,SOKNL,trumpapproval,0.0,1.2591292500001146,0.0,0.0
