step,track,model,dataset,Memory in Mb,Time in s,Accuracy
10884,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,17.11557541699949,0.0
11791,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,18.90445974999966,0.0
12698,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,20.79873570900054,0.0
13605,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,22.67014237500007,0.0
14512,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,24.625836084000184,0.0
15419,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,26.67214654199961,0.0
16326,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,28.712072750000516,0.0
17233,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,30.80845579200104,0.0
18140,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,32.981771624999965,0.0
19047,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,35.201087208999525,0.0
19954,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,37.4684841670005,0.0
20861,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,39.86039691699989,0.0
21768,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,42.250215292000576,0.0
22675,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,44.69526858400059,0.0
23582,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,47.22502812499988,0.0
24489,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,49.89576891700017,0.0
25396,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,52.55181270899993,0.0
26303,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,55.281078542000614,0.0
27210,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,58.157861584000784,0.0
28117,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,60.977407124999445,0.0
29024,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,63.99754150000081,0.0
29931,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,67.03990666699974,0.0
30838,Binary classification,AdaptiveRandomForestClassifier,elec2,0.0,70.07722783400095,0.0
