step,track,model,dataset,MAE,RMSE,R2,Memory in Mb,Time in s
517,Regression,Linear Regression,ChickWeights,20.093492725340727,32.00802507821089,0.7181912437784894,0.004210472106933594,0.7441800000000001
528,Regression,Linear Regression,ChickWeights,20.883641447975457,33.20140091570763,0.727385103943677,0.004210472106933594,0.769939
539,Regression,Linear Regression,ChickWeights,21.055940734584826,33.19901872731025,0.7386798629639011,0.004210472106933594,0.7960780000000001
550,Regression,Linear Regression,ChickWeights,22.046658398851132,34.818142407426606,0.7214274205964286,0.004210472106933594,0.822597
561,Regression,Linear Regression,ChickWeights,22.750150790689958,35.737018888500465,0.7193638350430389,0.004210472106933594,0.849495
572,Regression,Linear Regression,ChickWeights,23.60149518688988,36.92142939550449,0.722919218201958,0.004210472106933594,0.876772
578,Regression,Linear Regression,ChickWeights,23.758656678867762,37.03767126301035,0.7279537206511313,0.004210472106933594,0.904309
20,Regression,Linear Regression,TrumpApproval,20.715375599336316,24.276120972986362,-1381.3340079163324,0.004813194274902344,0.001275
40,Regression,Linear Regression,TrumpApproval,12.956746822999646,17.85530816845139,-127.17403450091604,0.004813194274902344,0.00338
60,Regression,Linear Regression,TrumpApproval,10.540337295823328,15.264267507077205,-125.28803290438402,0.004813194274902344,0.006288
80,Regression,Linear Regression,TrumpApproval,8.92648259034571,13.436420463778147,-97.15695382305036,0.004813194274902344,0.010461
100,Regression,Linear Regression,TrumpApproval,7.5495393499287236,12.076339439187347,-48.75014684916543,0.004813194274902344,0.015477999999999999
120,Regression,Linear Regression,TrumpApproval,6.5712666531069654,11.058195411086313,-34.388513465790076,0.004813194274902344,0.022475
140,Regression,Linear Regression,TrumpApproval,5.868178209177549,10.265658199354172,-30.515672886293014,0.004813194274902344,0.031521
160,Regression,Linear Regression,TrumpApproval,5.226493262391851,9.609365926739029,-23.352843972650145,0.004813194274902344,0.042556
180,Regression,Linear Regression,TrumpApproval,4.806672346419344,9.079121174210673,-18.092824435696784,0.004813194274902344,0.055621
200,Regression,Linear Regression,TrumpApproval,4.400421129740624,8.617551092451054,-16.252012396913173,0.004813194274902344,0.07184299999999999
220,Regression,Linear Regression,TrumpApproval,4.083414123099576,8.223437931584808,-15.946617088642817,0.004813194274902344,0.08890799999999999
240,Regression,Linear Regression,TrumpApproval,3.8235343884157706,7.87966547036827,-14.67643164713968,0.004813194274902344,0.10677499999999998
260,Regression,Linear Regression,TrumpApproval,3.5733429968046226,7.572887494545769,-13.674649599158814,0.004973411560058594,0.12558799999999998
280,Regression,Linear Regression,TrumpApproval,3.399764262602937,7.307305033384193,-13.305426773388605,0.004973411560058594,0.14538199999999998
300,Regression,Linear Regression,TrumpApproval,3.2435269592384794,7.069212717011484,-12.166742621467943,0.004973411560058594,0.16602899999999998
320,Regression,Linear Regression,TrumpApproval,3.1105754847518408,6.854541649824586,-11.99216513034567,0.004973411560058594,0.187489
340,Regression,Linear Regression,TrumpApproval,2.9569354047226284,6.651479799277566,-11.928129373171446,0.004973411560058594,0.21134499999999998
360,Regression,Linear Regression,TrumpApproval,2.8537856094930785,6.474036710445056,-11.348131391644102,0.004973411560058594,0.23668499999999998
380,Regression,Linear Regression,TrumpApproval,2.750449728962714,6.305826559379086,-11.120053648606476,0.004973411560058594,0.262887
400,Regression,Linear Regression,TrumpApproval,2.6634141155755278,6.151161672136967,-10.858744866397979,0.004973411560058594,0.29158399999999995
420,Regression,Linear Regression,TrumpApproval,2.556259025339157,6.003825249623929,-10.671335514866263,0.004973411560058594,0.32308299999999995
440,Regression,Linear Regression,TrumpApproval,2.471571610669061,5.868919367302693,-9.950915405915524,0.004973411560058594,0.35776299999999994
460,Regression,Linear Regression,TrumpApproval,2.3796807630395826,5.740715994508566,-8.935993501779443,0.004973411560058594,0.39432899999999993
480,Regression,Linear Regression,TrumpApproval,2.2935423272146473,5.620383847029998,-8.304713733239236,0.004973411560058594,0.43171199999999993
500,Regression,Linear Regression,TrumpApproval,2.2170719472274363,5.50775327209046,-7.748060324415055,0.004973411560058594,0.46988899999999995
520,Regression,Linear Regression,TrumpApproval,2.1605380581247338,5.4030519069184955,-7.433320998258445,0.004973411560058594,0.5089119999999999
540,Regression,Linear Regression,TrumpApproval,2.093930365363914,5.302901387269021,-7.093810234661742,0.004973411560058594,0.5487249999999999
560,Regression,Linear Regression,TrumpApproval,2.0590245226095627,5.213512799867119,-7.009651494197669,0.004973411560058594,0.5893299999999999
580,Regression,Linear Regression,TrumpApproval,1.9976476082662873,5.1231852511763165,-6.925804791819894,0.004973411560058594,0.6307229999999999
600,Regression,Linear Regression,TrumpApproval,1.950641059884997,5.038426259116397,-6.58092298894084,0.004973411560058594,0.6737829999999999
620,Regression,Linear Regression,TrumpApproval,1.9139787950639096,4.959092402037442,-6.2321238970256,0.004973411560058594,0.7176999999999999
640,Regression,Linear Regression,TrumpApproval,1.8644177203659011,4.8815607080230725,-5.87676544995844,0.004973411560058594,0.7624149999999998
660,Regression,Linear Regression,TrumpApproval,1.8242147858959745,4.808190620674182,-5.62363098938706,0.004973411560058594,0.8080889999999998
680,Regression,Linear Regression,TrumpApproval,1.7745110240786572,4.737042423784333,-5.530654039159668,0.004973411560058594,0.8545749999999999
700,Regression,Linear Regression,TrumpApproval,1.73663030353679,4.669916427921507,-5.51357997146441,0.004973411560058594,0.9018949999999999
720,Regression,Linear Regression,TrumpApproval,1.692679144669073,4.604703216269991,-5.472066122280332,0.004973411560058594,0.9500079999999999
740,Regression,Linear Regression,TrumpApproval,1.6517738073879173,4.542197076044804,-5.293761488897717,0.004973411560058594,0.9989109999999999
760,Regression,Linear Regression,TrumpApproval,1.6176019850850996,4.482676429973872,-5.196305855003581,0.004973411560058594,1.048606
780,Regression,Linear Regression,TrumpApproval,1.5865007641193463,4.425455260516019,-5.066178353973196,0.004973411560058594,1.099087
800,Regression,Linear Regression,TrumpApproval,1.5595678531598225,4.370690133148669,-4.970481738375755,0.004973411560058594,1.150375
820,Regression,Linear Regression,TrumpApproval,1.5359483450738913,4.318357063182573,-4.892367885242343,0.004973411560058594,1.2024469999999998
840,Regression,Linear Regression,TrumpApproval,1.5094802852221159,4.267276732370252,-4.807214337073276,0.004973411560058594,1.2553029999999998
860,Regression,Linear Regression,TrumpApproval,1.4815681878661566,4.217864876321593,-4.663732871777943,0.004973411560058594,1.3094029999999999
880,Regression,Linear Regression,TrumpApproval,1.4526831778170481,4.169823323470254,-4.507942651608292,0.004973411560058594,1.3650019999999998
900,Regression,Linear Regression,TrumpApproval,1.425504815240136,4.123417367951589,-4.4087270270070205,0.004973411560058594,1.4229919999999998
920,Regression,Linear Regression,TrumpApproval,1.401135420694234,4.078757160785335,-4.379153600942964,0.004973411560058594,1.4819109999999998
940,Regression,Linear Regression,TrumpApproval,1.3798894262867005,4.035722473386745,-4.310917809364017,0.004973411560058594,1.5416329999999998
960,Regression,Linear Regression,TrumpApproval,1.3578157698337674,3.993911445090692,-4.255827563021541,0.004973411560058594,1.6021789999999998
980,Regression,Linear Regression,TrumpApproval,1.3349554985290681,3.953168904153961,-4.2491478554421755,0.004973411560058594,1.6641909999999998
1000,Regression,Linear Regression,TrumpApproval,1.3157385915327033,3.9139344489617316,-4.232086679588724,0.004973411560058594,1.7274159999999998
1001,Regression,Linear Regression,TrumpApproval,1.3145482000473083,3.9119809164882438,-4.230354806784151,0.004973411560058594,1.7908269999999997
11,Regression,Linear Regression with l1 regularization,ChickWeights,30.519429760441792,31.341724959881887,-1263.4547929656035,0.004361152648925781,0.001312
22,Regression,Linear Regression with l1 regularization,ChickWeights,20.93274945698016,23.730069634788823,-595.3856524245364,0.004361152648925781,0.0038900000000000002
33,Regression,Linear Regression with l1 regularization,ChickWeights,14.671976905269485,19.432784890847977,-261.2719879213097,0.004361152648925781,0.007488
44,Regression,Linear Regression with l1 regularization,ChickWeights,11.206218788565426,16.83704009498573,-222.1918420065333,0.004361152648925781,0.011866
55,Regression,Linear Regression with l1 regularization,ChickWeights,10.7873677371092,17.69725945175844,-60.138926246201024,0.004361152648925781,0.01669
66,Regression,Linear Regression with l1 regularization,ChickWeights,10.358479420064798,16.54420972880916,-22.032639310332936,0.004361152648925781,0.021939
77,Regression,Linear Regression with l1 regularization,ChickWeights,9.753598876381378,15.536347024393615,-12.613738343052718,0.004361152648925781,0.027608
88,Regression,Linear Regression with l1 regularization,ChickWeights,8.774706713989955,14.560860647391403,-9.841807755380493,0.004361152648925781,0.034301
99,Regression,Linear Regression with l1 regularization,ChickWeights,7.976543403311107,13.74760854733656,-7.083247758311314,0.004361152648925781,0.041631
110,Regression,Linear Regression with l1 regularization,ChickWeights,7.5284067705618165,13.110785837893241,-4.133835882207287,0.004361152648925781,0.049405000000000004
121,Regression,Linear Regression with l1 regularization,ChickWeights,7.271666718491515,12.6229442838289,-2.665108536473531,0.004361152648925781,0.058065000000000005
132,Regression,Linear Regression with l1 regularization,ChickWeights,6.91845605456336,12.134014714075713,-1.7679259750984961,0.004361152648925781,0.06789300000000001
143,Regression,Linear Regression with l1 regularization,ChickWeights,6.610383809165891,11.700505099139125,-1.084596952740374,0.004361152648925781,0.078933
154,Regression,Linear Regression with l1 regularization,ChickWeights,6.3485668448406924,11.31852948419668,-0.6578355548574832,0.004361152648925781,0.091
165,Regression,Linear Regression with l1 regularization,ChickWeights,6.473998962981321,11.222073845492618,-0.3100659276219817,0.004361152648925781,0.10408099999999999
176,Regression,Linear Regression with l1 regularization,ChickWeights,6.543521830550948,11.096254270292283,-0.032756661210885385,0.004361152648925781,0.118183
187,Regression,Linear Regression with l1 regularization,ChickWeights,6.493894355635018,10.908553918682982,0.18277886707380187,0.004361152648925781,0.132933
198,Regression,Linear Regression with l1 regularization,ChickWeights,6.432058292739276,10.739983052449066,0.36987633376979445,0.004361152648925781,0.14812999999999998
209,Regression,Linear Regression with l1 regularization,ChickWeights,6.530905166315106,10.805387069826965,0.47419925648761396,0.004361152648925781,0.16374999999999998
220,Regression,Linear Regression with l1 regularization,ChickWeights,7.049069109840064,11.46222613381468,0.4819945238144716,0.004361152648925781,0.17979299999999998
231,Regression,Linear Regression with l1 regularization,ChickWeights,7.185364391622807,11.520615160379734,0.5523912707049028,0.004361152648925781,0.19671599999999997
242,Regression,Linear Regression with l1 regularization,ChickWeights,7.384443509591489,11.759466507882767,0.6247424700583044,0.004361152648925781,0.21409199999999998
253,Regression,Linear Regression with l1 regularization,ChickWeights,7.370825288025247,11.706644644448966,0.6770052015955412,0.004361152648925781,0.231894
264,Regression,Linear Regression with l1 regularization,ChickWeights,7.997212264968545,12.688148058774217,0.6533323093865229,0.004441261291503906,0.250121
275,Regression,Linear Regression with l1 regularization,ChickWeights,8.45564901988644,13.583827871673952,0.6503637760490552,0.004441261291503906,0.268769
286,Regression,Linear Regression with l1 regularization,ChickWeights,8.687395226209604,13.953064893865328,0.6804867014487179,0.004441261291503906,0.287838
297,Regression,Linear Regression with l1 regularization,ChickWeights,8.660171229881424,13.910099225377925,0.7245931722706233,0.004441261291503906,0.307326
308,Regression,Linear Regression with l1 regularization,ChickWeights,9.16625719191718,14.612234985526298,0.7293304097140514,0.004441261291503906,0.32722999999999997
319,Regression,Linear Regression with l1 regularization,ChickWeights,10.250950211093048,17.0718306278326,0.664728869016383,0.004441261291503906,0.34755199999999997
330,Regression,Linear Regression with l1 regularization,ChickWeights,10.679670450254022,17.65395670255975,0.6931807697512926,0.004441261291503906,0.36829199999999995
341,Regression,Linear Regression with l1 regularization,ChickWeights,10.873729384474112,17.73873175202587,0.7226130148559202,0.004441261291503906,0.38944899999999993
352,Regression,Linear Regression with l1 regularization,ChickWeights,11.018541118771262,17.831871437600412,0.745188204067577,0.004441261291503906,0.41364599999999996
363,Regression,Linear Regression with l1 regularization,ChickWeights,11.899574150448762,19.190338217602402,0.7134289333715201,0.004441261291503906,0.439059
374,Regression,Linear Regression with l1 regularization,ChickWeights,12.408282768986876,20.289550367060546,0.7055179762102581,0.004441261291503906,0.46603
385,Regression,Linear Regression with l1 regularization,ChickWeights,12.788104615245373,20.897902847676004,0.7235998101431352,0.004441261291503906,0.494214
396,Regression,Linear Regression with l1 regularization,ChickWeights,12.908222014164421,20.86950621812891,0.7429865604297317,0.004441261291503906,0.523626
407,Regression,Linear Regression with l1 regularization,ChickWeights,13.785647364051679,22.333927174809716,0.726395986248676,0.004441261291503906,0.5541560000000001
418,Regression,Linear Regression with l1 regularization,ChickWeights,14.562464823979756,23.771461386342615,0.709038397249883,0.004441261291503906,0.5857570000000001
429,Regression,Linear Regression with l1 regularization,ChickWeights,15.115712915071189,24.692790084324347,0.7210130632693055,0.004441261291503906,0.6184310000000001
440,Regression,Linear Regression with l1 regularization,ChickWeights,15.290646451171162,24.766775019882367,0.7392038606135755,0.004441261291503906,0.652151
451,Regression,Linear Regression with l1 regularization,ChickWeights,15.806610158983217,25.370563596297366,0.7379667599208486,0.004441261291503906,0.686555
462,Regression,Linear Regression with l1 regularization,ChickWeights,16.91167446753811,27.489289014578034,0.711055524573946,0.004441261291503906,0.7214090000000001
473,Regression,Linear Regression with l1 regularization,ChickWeights,17.69453441784174,28.803034656505247,0.7198918720890418,0.004441261291503906,0.7566930000000001
484,Regression,Linear Regression with l1 regularization,ChickWeights,18.025914293879836,29.08166628667707,0.7300944167213836,0.004441261291503906,0.792397
495,Regression,Linear Regression with l1 regularization,ChickWeights,18.47687089345869,29.604201733284565,0.7368958634072684,0.004441261291503906,0.828524
506,Regression,Linear Regression with l1 regularization,ChickWeights,19.37032815671457,31.058772984483273,0.7188231637639817,0.004441261291503906,0.8650720000000001
517,Regression,Linear Regression with l1 regularization,ChickWeights,20.096649322747314,32.051830787895724,0.717419357352562,0.004441261291503906,0.9020370000000001
528,Regression,Linear Regression with l1 regularization,ChickWeights,20.88685610593147,33.24610520798377,0.7266504806846955,0.004441261291503906,0.9394190000000001
539,Regression,Linear Regression with l1 regularization,ChickWeights,21.052957054073875,33.24035912136826,0.7380286507287471,0.004441261291503906,0.9772130000000001
550,Regression,Linear Regression with l1 regularization,ChickWeights,22.046178761536364,34.86098206113683,0.7207414968982613,0.004441261291503906,1.0154210000000001
561,Regression,Linear Regression with l1 regularization,ChickWeights,22.751953045975853,35.78242297978339,0.7186502822700677,0.004441261291503906,1.054048
572,Regression,Linear Regression with l1 regularization,ChickWeights,23.603432973098663,36.96472548228527,0.7222689970347711,0.004441261291503906,1.0930870000000001
578,Regression,Linear Regression with l1 regularization,ChickWeights,23.757667537133976,37.078025255419426,0.7273605875689941,0.004441261291503906,1.1324120000000002
20,Regression,Linear Regression with l1 regularization,TrumpApproval,20.96628233331211,24.387937149248955,-1394.0974368768457,0.005043983459472656,0.002702
40,Regression,Linear Regression with l1 regularization,TrumpApproval,12.95809265443779,17.886947111698607,-127.62867621055315,0.005043983459472656,0.007943
60,Regression,Linear Regression with l1 regularization,TrumpApproval,10.43403375286247,15.198987179765494,-124.2101566950438,0.005043983459472656,0.0201
80,Regression,Linear Regression with l1 regularization,TrumpApproval,8.76952679896777,13.348146279436204,-95.87145335263979,0.005043983459472656,0.035172
100,Regression,Linear Regression with l1 regularization,TrumpApproval,7.318348711169017,11.969856517585775,-47.87667264392048,0.005043983459472656,0.053037
120,Regression,Linear Regression with l1 regularization,TrumpApproval,6.2853039116310185,10.94189036106609,-33.648027646243705,0.005043983459472656,0.073595
140,Regression,Linear Regression with l1 regularization,TrumpApproval,5.5208355911538485,10.138862242229527,-29.74195117722151,0.005043983459472656,0.09705
160,Regression,Linear Regression with l1 regularization,TrumpApproval,4.9080595636493145,9.487746704217276,-22.740310036230184,0.005043983459472656,0.121498
180,Regression,Linear Regression with l1 regularization,TrumpApproval,4.437342628193194,8.948953859899,-17.549281500204398,0.005043983459472656,0.146851
200,Regression,Linear Regression with l1 regularization,TrumpApproval,4.020740144728086,8.490404067975657,-15.746680942149272,0.005043983459472656,0.173136
220,Regression,Linear Regression with l1 regularization,TrumpApproval,3.702540763677515,8.09713522450445,-15.430052960036054,0.005043983459472656,0.20030900000000001
240,Regression,Linear Regression with l1 regularization,TrumpApproval,3.449057445346116,7.7551931287900455,-14.185073150160106,0.005043983459472656,0.228365
260,Regression,Linear Regression with l1 regularization,TrumpApproval,3.201640426877581,7.451485247160068,-13.20791735379428,0.005204200744628906,0.257305
280,Regression,Linear Regression with l1 regularization,TrumpApproval,2.9861522146348123,7.180696949733205,-12.814002869999907,0.005204200744628906,0.287133
300,Regression,Linear Regression with l1 regularization,TrumpApproval,2.8260389726991693,6.939608203297966,-11.688379207589731,0.005204200744628906,0.317877
320,Regression,Linear Regression with l1 regularization,TrumpApproval,2.694730270614988,6.722171113188908,-11.495217468089896,0.005204200744628906,0.349515
340,Regression,Linear Regression with l1 regularization,TrumpApproval,2.572442774284147,6.524300196624447,-11.438471282384336,0.005204200744628906,0.38205
360,Regression,Linear Regression with l1 regularization,TrumpApproval,2.4832798669216825,6.3452949037256134,-10.86190793294698,0.005204200744628906,0.415475
380,Regression,Linear Regression with l1 regularization,TrumpApproval,2.371542642654472,6.177015076243767,-10.629949316856383,0.005204200744628906,0.44979199999999997
400,Regression,Linear Regression with l1 regularization,TrumpApproval,2.263251524870982,6.020874949010495,-10.361708857360679,0.005204200744628906,0.48502199999999995
420,Regression,Linear Regression with l1 regularization,TrumpApproval,2.1669018257777095,5.8760767656227735,-10.179937857653263,0.005204200744628906,0.5211429999999999
440,Regression,Linear Regression with l1 regularization,TrumpApproval,2.1025509089011916,5.743886676480224,-9.489284487381322,0.005204200744628906,0.5588059999999999
460,Regression,Linear Regression with l1 regularization,TrumpApproval,2.0360304025506277,5.61908468135586,-8.519416508014515,0.005204200744628906,0.5973939999999999
480,Regression,Linear Regression with l1 regularization,TrumpApproval,1.9657178079674962,5.50138701729293,-7.914879120336785,0.005204200744628906,0.6368849999999999
500,Regression,Linear Regression with l1 regularization,TrumpApproval,1.8948913466896102,5.390446783732167,-7.379388774419297,0.005204200744628906,0.6772769999999999
520,Regression,Linear Regression with l1 regularization,TrumpApproval,1.8304411336225566,5.286008256480869,-7.071904701569496,0.005204200744628906,0.7186079999999999
540,Regression,Linear Regression with l1 regularization,TrumpApproval,1.7733791235095338,5.187623645241403,-6.74573862520947,0.005204200744628906,0.760836
560,Regression,Linear Regression with l1 regularization,TrumpApproval,1.7328732375480083,5.096231477200102,-6.653340289034931,0.005204200744628906,0.8039569999999999
580,Regression,Linear Regression with l1 regularization,TrumpApproval,1.6922671720641331,5.009032279128942,-6.5765398617523605,0.005204200744628906,0.8479659999999999
600,Regression,Linear Regression with l1 regularization,TrumpApproval,1.6600221636451293,4.9270067527590165,-6.249341959517198,0.005204200744628906,0.8928859999999998
620,Regression,Linear Regression with l1 regularization,TrumpApproval,1.6169171465584515,4.847662648980224,-5.910766757861972,0.005204200744628906,0.9386969999999999
640,Regression,Linear Regression with l1 regularization,TrumpApproval,1.5787668849144931,4.771995268006674,-5.5715350899413965,0.005204200744628906,0.9853989999999999
660,Regression,Linear Regression with l1 regularization,TrumpApproval,1.535700232104731,4.69925054984221,-5.326885534626132,0.005204200744628906,1.0341259999999999
680,Regression,Linear Regression with l1 regularization,TrumpApproval,1.5003699975160405,4.630081239411466,-5.239062722957792,0.005204200744628906,1.0837459999999999
700,Regression,Linear Regression with l1 regularization,TrumpApproval,1.4782734303433982,4.565354365023557,-5.225160013321354,0.005204200744628906,1.1342839999999998
720,Regression,Linear Regression with l1 regularization,TrumpApproval,1.4563696019956498,4.503833132228122,-5.19161922746511,0.005204200744628906,1.1857129999999998
740,Regression,Linear Regression with l1 regularization,TrumpApproval,1.4392280778003554,4.445645440595998,-5.02903742417401,0.005204200744628906,1.2380319999999998
760,Regression,Linear Regression with l1 regularization,TrumpApproval,1.4073407178561264,4.387021097703184,-4.9346827726614455,0.005204200744628906,1.2912409999999999
780,Regression,Linear Regression with l1 regularization,TrumpApproval,1.3782504190107006,4.330701361336262,-4.809192109617374,0.005204200744628906,1.3467069999999999
800,Regression,Linear Regression with l1 regularization,TrumpApproval,1.3571814777264213,4.277370073659861,-4.718248073230613,0.005204200744628906,1.404745
820,Regression,Linear Regression with l1 regularization,TrumpApproval,1.3328025450945626,4.2253925636381995,-4.641399853721709,0.005204200744628906,1.467228
840,Regression,Linear Regression with l1 regularization,TrumpApproval,1.311715211433691,4.175582527272098,-4.560327645533724,0.005204200744628906,1.531944
860,Regression,Linear Regression with l1 regularization,TrumpApproval,1.2897432923325247,4.127236925138345,-4.422957957045758,0.005204200744628906,1.599492
880,Regression,Linear Regression with l1 regularization,TrumpApproval,1.2672991203860131,4.080383024210964,-4.274192362897992,0.005204200744628906,1.6693589999999998
900,Regression,Linear Regression with l1 regularization,TrumpApproval,1.2421842209255052,4.03488734209176,-4.178968845613636,0.005204200744628906,1.7414129999999999
920,Regression,Linear Regression with l1 regularization,TrumpApproval,1.220808929344255,3.991045752926761,-4.15028972045945,0.005204200744628906,1.81507
940,Regression,Linear Regression with l1 regularization,TrumpApproval,1.2057181063421543,3.9494511154557617,-4.0862825167589865,0.005204200744628906,1.889777
960,Regression,Linear Regression with l1 regularization,TrumpApproval,1.188437369603739,3.9086583836793856,-4.0338431039290805,0.005204200744628906,1.9653990000000001
980,Regression,Linear Regression with l1 regularization,TrumpApproval,1.1710173649101312,3.8690392813429555,-4.028105053503917,0.005204200744628906,2.041918
1000,Regression,Linear Regression with l1 regularization,TrumpApproval,1.1544521877618488,3.8306020851942315,-4.0116636492940465,0.005204200744628906,2.119328
1001,Regression,Linear Regression with l1 regularization,TrumpApproval,1.1537672749321948,3.8287168981917103,-4.010074752320696,0.005204200744628906,2.196898
11,Regression,Linear Regression with l2 regularization,ChickWeights,30.6062254572366,31.39938120772091,-1268.1112549740517,0.004153251647949219,0.001289
22,Regression,Linear Regression with l2 regularization,ChickWeights,21.412737763681047,23.97862157826266,-607.9443275975191,0.004153251647949219,0.0037990000000000003
33,Regression,Linear Regression with l2 regularization,ChickWeights,15.119104680903606,19.655410372524667,-267.315679768846,0.004153251647949219,0.007351
44,Regression,Linear Regression with l2 regularization,ChickWeights,11.691588950452092,17.042779535378298,-227.6797328948204,0.004153251647949219,0.01184
