step,track,model,dataset,Memory in Mb,Time in s,Valid updates,Accuracy,F1
279153,Anomaly detection,HalfSpaceTrees,creditcard,1610.1875,30.731382707999728,5697,0.9978972104903046,0.0
9881,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.5625,1.5501260000019101,9881,0.9783422730492866,0.9487302347867752
19762,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.84375,2.947062791001372,9881,0.9723206153223358,0.9291542546302293
29643,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,4.4157391660010035,9881,0.9738892824612894,0.9030561122244489
39524,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,5.784123166002246,9881,0.9803916607630807,0.9029430181590482
49405,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,7.16087058300036,9881,0.9755692743649428,0.9469287253220771
59286,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,8.52276991600229,9881,0.967462807408157,0.9516213979384546
69167,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,9.924705416000506,9881,0.9721109777784204,0.9676532237779827
79048,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,11.279782166002406,9881,0.9719917012448133,0.9682425841987492
88929,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,12.805602791002457,9881,0.9683905137806564,0.960144054218832
98810,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,14.159732125001028,9881,0.970185203926728,0.9652929949812682
108691,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,15.623736290999659,9881,0.9717823922863899,0.967938867459048
118572,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,16.948438458002784,9881,0.9741338595958574,0.9734281728944837
128453,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,18.293480125001224,9881,0.9761235627038684,0.977312571661057
138334,Anomaly detection,HalfSpaceTrees,kdd99_10pct_binary,1676.96875,19.622099750002235,9881,0.9753422875070482,0.9774611963869194
